date;series;value
2013-07-27 20:11:45.367;eventData;68.58651889641274
2013-07-27 20:16:45.367;eventData;57.508651249543306
2013-07-27 20:21:45.367;eventData;59.42562060869955
2013-07-27 20:26:45.367;eventData;67.94769819565936
2013-07-27 20:31:45.367;eventData;65.54406523008578
2013-07-27 20:36:45.367;eventData;69.67495755586609
2013-07-27 20:41:45.367;eventData;71.37860935912099
2013-07-27 20:46:45.367;eventData;65.65916612371996
2013-07-27 20:51:45.367;eventData;63.09911348491762
2013-07-27 20:56:45.367;eventData;69.75357420787165
2013-07-27 21:01:45.367;eventData;51.82523747819503
2013-07-27 21:06:45.367;eventData;60.621646316033896
2013-07-27 21:11:45.367;eventData;57.62793056592807
2013-07-27 21:16:45.367;eventData;59.593502277893805
2013-07-27 21:21:45.367;eventData;69.5032635624605
2013-07-27 21:26:45.367;eventData;55.506511425439314
2013-07-27 21:31:45.367;eventData;68.57826932007778
2013-07-27 21:36:45.367;eventData;57.297524892615485
2013-07-27 21:41:45.367;eventData;63.171359241260056
2013-07-27 21:46:45.367;eventData;59.23123384792925
2013-07-27 21:51:45.367;eventData;58.81616990639208
2013-07-27 21:56:45.367;eventData;62.31116693837635
2013-07-27 22:01:45.367;eventData;58.47406560836164
2013-07-27 22:06:45.367;eventData;61.94577858198792
2013-07-27 22:11:45.367;eventData;65.99012879966338
2013-07-27 22:16:45.367;eventData;64.17763599792887
2013-07-27 22:21:45.367;eventData;62.56956068595728
2013-07-27 22:26:45.367;eventData;57.567427750833176
2013-07-27 22:31:45.367;eventData;64.14261750291195
2013-07-27 22:36:45.367;eventData;64.02790984836709
2013-07-27 22:41:45.367;eventData;58.088075473313104
2013-07-27 22:46:45.367;eventData;55.29102255087959
2013-07-27 22:51:45.367;eventData;65.1547440077106
2013-07-27 22:56:45.367;eventData;63.54290148964751
2013-07-27 23:01:45.367;eventData;69.65454472374013
2013-07-27 23:06:45.367;eventData;69.16578541124066
2013-07-27 23:11:45.367;eventData;60.53817840136254
2013-07-27 23:16:45.367;eventData;56.58785716150153
2013-07-27 23:21:45.367;eventData;63.8546965149671
2013-07-27 23:26:45.367;eventData;61.262757575597405
2013-07-27 23:31:45.367;eventData;53.51412293146962
2013-07-27 23:36:45.367;eventData;57.405018258377254
2013-07-27 23:41:45.367;eventData;58.296479129810855
2013-07-27 23:46:45.367;eventData;61.09888730680639
2013-07-27 23:51:45.367;eventData;55.6437679373221
2013-07-27 23:56:45.367;eventData;67.13329028327394
2013-07-28 00:01:45.367;eventData;49.71135797653133
2013-07-28 00:06:45.367;eventData;57.52188489285722
2013-07-28 00:11:45.367;eventData;73.22469245700326
