date;series;value
2015-10-21 14:39:33.821;eventData;73.10382267569528
2015-10-21 14:44:33.821;eventData;59.81038149945197
2015-10-21 14:49:33.821;eventData;62.110744730439464
2015-10-21 14:54:33.821;eventData;72.33723783479122
2015-10-21 14:59:33.821;eventData;69.45287827610294
2015-10-21 15:04:33.821;eventData;74.4099490670393
2015-10-21 15:09:33.821;eventData;76.4543312309452
2015-10-21 15:14:33.821;eventData;69.59099934846395
2015-10-21 15:19:33.821;eventData;66.51893618190115
2015-10-21 15:24:33.821;eventData;74.50428904944597
2015-10-21 15:29:33.821;eventData;52.99028497383404
2015-10-21 15:34:33.821;eventData;63.545975579240675
2015-10-21 15:39:33.821;eventData;59.953516679113676
2015-10-21 15:44:33.821;eventData;62.31220273347257
2015-10-21 15:49:33.821;eventData;74.2039162749526
2015-10-21 15:54:33.821;eventData;57.40781371052717
2015-10-21 15:59:33.821;eventData;73.09392318409334
2015-10-21 16:04:33.821;eventData;59.55702987113858
2015-10-21 16:09:33.821;eventData;66.60563108951207
2015-10-21 16:14:33.821;eventData;61.877480617515104
2015-10-21 16:19:33.821;eventData;61.3794038876705
2015-10-21 16:24:33.821;eventData;65.57340032605163
2015-10-21 16:29:33.821;eventData;60.96887873003397
2015-10-21 16:34:33.821;eventData;65.1349342983855
2015-10-21 16:39:33.821;eventData;69.98815455959605
2015-10-21 16:44:33.821;eventData;67.81316319751465
2015-10-21 16:49:33.821;eventData;65.88347282314874
2015-10-21 16:54:33.821;eventData;59.880913300999815
2015-10-21 16:59:33.821;eventData;67.77114100349434
2015-10-21 17:04:33.821;eventData;67.6334918180405
2015-10-21 17:09:33.821;eventData;60.505690567975726
2015-10-21 17:14:33.821;eventData;57.149227061055505
2015-10-21 17:19:33.821;eventData;68.98569280925273
2015-10-21 17:24:33.821;eventData;67.05148178757702
2015-10-21 17:29:33.821;eventData;74.38545366848815
2015-10-21 17:34:33.821;eventData;73.7989424934888
2015-10-21 17:39:33.821;eventData;63.44581408163505
2015-10-21 17:44:33.821;eventData;58.705428593801834
2015-10-21 17:49:33.821;eventData;67.42563581796053
2015-10-21 17:54:33.821;eventData;64.31530909071688
2015-10-21 17:59:33.821;eventData;55.01694751776355
2015-10-21 18:04:33.821;eventData;59.6860219100527
