date;series;value
2013-03-17 04:33:45.508;eventData;30.447132126567126
2013-03-17 04:38:45.508;eventData;29.780433285728527
2013-03-17 04:43:45.508;eventData;29.89007860981042
2013-03-17 04:48:45.508;eventData;28.40737920566963
2013-03-17 04:53:45.508;eventData;27.669953537208894
2013-03-17 04:58:45.508;eventData;30.168011082231317
2013-03-17 05:03:45.508;eventData;29.87411143793902
2013-03-17 05:08:45.508;eventData;28.21491339090618
2013-03-17 05:13:45.508;eventData;27.622061717777697
2013-03-17 05:18:45.508;eventData;27.548350415812454
2013-03-17 05:23:45.508;eventData;30.23863908732529
