date;series;value
2011-06-14 06:01:29.937;eventData;64.82290258187254
2011-06-14 06:06:29.937;eventData;61.769681748590315
2011-06-14 06:11:29.937;eventData;58.43002084237676
2011-06-14 06:16:29.937;eventData;55.139031606775255
2011-06-14 06:21:29.937;eventData;56.5298299172897
2011-06-14 06:26:29.937;eventData;58.69756631648435
2011-06-14 06:31:29.937;eventData;62.30437154709834
2011-06-14 06:36:29.937;eventData;56.58646018763956
2011-06-14 06:41:29.937;eventData;65.18163681828199
2011-06-14 06:46:29.937;eventData;59.20770564546998
